cell_id,leiden_cluster
adahbhek-1,0
adahcgdi-1,2
adahfhjl-1,2
adaiaecn-1,2
adaicbfp-1,1
adajagkb-1,2
adalfeje-1,2
adancenj-1,0
adaofaig-1,0
adaofaje-1,1
adaolgce-1,2
adaooplm-1,0
adbbamfh-1,4
adbbmemh-1,0
adbcmfhn-1,5
adbcmoji-1,0
adbcndbo-1,2
adbdgnlo-1,1
adbedolk-1,0
adbeoaij-1,2
adbfilip-1,0
adbfljoc-1,0
adbhaapj-1,4
adbihlbf-1,2
adbkegcc-1,0
adbkmhdo-1,0
adbknkmf-1,1
adblpbjn-1,2
adbmanbm-1,0
adbmphfi-1,2
adbmpolc-1,0
adbnbmop-1,2
adbneklm-1,2
adboooik-1,2
adbpfdam-1,1
adcaeehh-1,5
adcbeigb-1,0
adcbfdjp-1,2
adcblgnf-1,1
adcdibjl-1,2
adcfeafm-1,0
adchajng-1,0
adciebjb-1,0
adcilomj-1,2
adcjeglo-1,0
adcjjagm-1,2
adcklecp-1,2
adckolic-1,5
adcljfek-1,1
adclmonb-1,1
adcmilba-1,1
adcnapak-1,0
adcnhhip-1,1
adcojchp-1,4
adcoppem-1,2
adcpcbdi-1,0
adcpflfn-1,5
adcpiaob-1,0
addbblno-1,1
addbeahl-1,0
addbhlln-1,0
addcbhel-1,0
addcgnca-1,0
adddekik-1,1
adddikei-1,5
adddllbi-1,0
adddphme-1,2
addehffb-1,2
addgokja-1,0
addgpaog-1,1
addhehdl-1,1
addhfjlh-1,1
addjmibe-1,0
addohmcm-1,5
adecdgha-1,0
adeciimn-1,0
adeefbkg-1,2
adeegmah-1,1
adegbjia-1,1
adegdjck-1,5
adehlbed-1,5
adeifkkn-1,1
adeihhlj-1,2
adeikbok-1,0
adeilnpe-1,0
adejeeie-1,0
adejganj-1,0
adejjlod-1,4
adejoomm-1,0
adelapol-1,0
adeliahm-1,0
adenglem-1,0
adengpjb-1,0
adeoegim-1,5
adeolila-1,2
adephben-1,0
adfbpocl-1,2
adfcdmcj-1,0
adfedodo-1,2
adfejhfa-1,2
adfelemg-1,2
adffhael-1,2
adffphgm-1,0
adfgfifj-1,2
adfgolpp-1,4
adfhdedi-1,0
adfhfkji-1,4
adfhiglc-1,0
adfhnkmb-1,1
adfhoonk-1,0
