cell_id,4-1BB,B7-H3,CD123,CD14,CD163,CD27,CD31,CD38,CD39,CD40,CD68,CTLA4,FABP4,FOXP3,GITR,GZMB,ICOS,IL-18,IL-1b,IgD,Ki-67,LAG3,LAMP1,NF-kB p65,PD-L1,Tim-3,VISTA,Vimentin,iNOS,pan-RAS
c_1_32_459,-0.36361083,-1.0904585,-0.9105703,-0.018598273,-0.3247812,0.652187,-0.20869185,-0.08605832,0.030335015,0.022156803,-0.08354039,-1.0762792,-1.0574335,-0.27481714,-1.5243979,-1.4726031,-0.3740673,-0.69708085,-0.75195926,0.5835511,-1.5300515,-0.9245543,-0.85536796,0.061609395,-0.79998267,-0.74188805,0.12972485,-0.2938352,-1.127831,-1.5104132
c_1_32_460,-0.63448083,-0.41876152,-1.1744411,-0.12722994,-0.5606648,0.65469223,-0.78824055,-0.16453984,-0.9535342,-0.7378179,-0.14666745,0.1900134,-0.6960962,1.1526052,-1.9320343,0.0026835403,0.15423085,-1.3858422,-1.475338,-0.5857241,-1.2007011,-0.6171749,-0.110422164,0.49589208,-0.8903298,-1.7605262,0.11843204,0.10271863,-0.6744119,-0.87505835
c_1_32_461,-0.9893938,-0.42228892,-0.04293109,-0.45296416,-0.43236354,0.08923984,0.009112086,-0.060838416,-0.78602195,0.06058654,-0.09507745,-0.8059788,0.0037399083,0.2073942,-1.0304446,0.8729786,-0.3763539,-0.51434875,-0.85080504,0.8657627,-0.07971613,-0.60490566,0.22143027,0.73104054,-1.2198328,0.5622591,-0.6061787,0.9683603,-0.6163949,0.17351191
c_1_32_462,-1.3653018,-0.7835332,-1.116034,-0.091023736,-0.094830014,0.072526485,-0.28185192,-0.7436837,-1.0035667,-1.120833,-0.051595602,-1.4996291,-0.04158416,0.19832331,-1.8016579,-0.7230407,-0.73492247,-1.3556656,-1.1538337,-0.42638826,-1.5674616,-0.6752493,0.06674673,0.37493423,-1.2602153,0.420889,0.21307097,0.62537426,0.42778692,-0.20460956
c_1_32_463,-1.1672497,-1.9408295,-1.019631,-0.36427084,-2.0134182,0.93551594,-1.9974357,0.09229296,-1.3800268,-1.3759211,0.24326532,2.455818,-0.9942639,-1.0357172,-1.2214689,-0.30079034,-0.064488485,-0.6392086,-0.103685774,-0.31593594,-1.2461045,-0.8991504,-0.94926035,0.41574422,-1.8439084,0.19809538,-0.22664951,-0.0980561,-1.0794016,-0.9343411
c_1_32_464,-0.76160926,-1.1573747,-0.86818427,-0.08251968,-0.76329917,0.60642236,-0.17313655,-0.2025982,-1.3207296,-1.0660111,0.18067142,-0.39045188,-0.8292184,-0.84333295,-1.1364787,-1.2336823,-0.71599275,-1.2719865,-0.07823978,-0.10871728,-1.5825992,-0.48156866,-0.33781993,0.4287236,-1.3661733,-0.88243324,0.21501774,0.34068757,-0.9834521,-0.75962526
c_1_32_465,-0.46070465,-0.3126092,-0.10310626,-0.5778855,0.25212282,-0.9730419,-0.41418278,-0.2950521,0.37509522,-0.6149362,0.8309801,-0.05462999,-0.3888058,1.4047605,-0.22256306,1.0864997,-0.41096008,-0.46386236,-0.3062932,-0.36000293,0.51475644,0.36876184,0.18079646,0.27502793,-0.7306648,1.7867224,0.39741853,1.1405361,-0.027113372,0.8093674
c_1_32_466,-1.5178096,-0.6591714,0.39931834,-0.32394782,-0.07272987,-0.21243125,0.19424844,-0.6506933,-0.9202376,-0.29095313,-0.054615602,-0.34981406,-0.35017234,-0.52268,-1.3762916,-1.0440834,-1.1781086,-0.8996583,-0.060914613,-0.32759535,-0.26681957,-1.2917566,-0.25647447,0.17006828,-1.2862706,0.07428678,-0.517579,0.045628607,0.053290546,-0.65708226
c_1_32_467,-0.95445037,-1.1944289,-1.0730665,1.2032295,-0.86282784,0.8891385,-0.3304078,0.30415368,-0.7738659,-0.81791663,-0.014237418,0.23397143,-1.0948994,-0.6378464,-1.4948354,-0.88117564,0.44534615,-0.95496684,-1.4048539,-0.35407257,-0.77305776,-0.6752493,0.048152186,0.702501,-0.99744123,-0.6207764,-0.09834115,-0.53374416,0.34951797,-1.2245733
c_1_32_468,-0.5359947,-0.6273655,-0.31995657,-0.6490214,0.62222415,-0.9062228,0.651695,-0.7100192,0.18844093,-0.00885365,0.26326263,-0.44868073,-0.2911337,0.28671914,-0.71871376,0.3732121,-1.288445,-0.48538166,0.5250669,1.3882117,0.2640278,0.06464782,-0.025448885,0.49274698,-0.08110652,0.65558773,-0.62767196,1.019968,-1.1255004,0.43559077
c_1_32_469,-1.0658882,-0.21850547,0.47129193,0.18688893,0.83755684,0.23158084,1.3567256,0.28584668,-0.35098147,-0.7510156,0.72099984,-0.928016,0.7450356,0.8031111,-1.2199004,0.9363258,-1.0134832,-0.5528546,-0.7909658,1.5067796,-0.056279488,-0.7154488,0.86253214,0.581514,-0.5753613,1.2421464,1.1901171,1.231546,0.27205253,0.24411981
c_1_32_470,-0.9346277,-0.7835332,-0.29448882,-1.0041655,0.15453024,-0.3301628,0.49515298,0.100007,0.1369428,-0.84098166,-0.23001331,-0.602138,0.19275025,2.2900891,-0.24793829,1.1042706,-1.1983576,-0.23145714,-0.86206716,0.85755557,1.3128496,-0.87628096,0.6155905,1.0324907,-1.1130238,1.3304158,-0.21280721,1.186491,-0.5294841,0.69858366
c_1_32_471,-0.41906276,-0.5238664,0.98026043,1.6092488,0.83755684,0.65288675,0.44484568,0.14613758,-0.44839263,0.64976615,0.23546858,-1.3903704,-0.88424796,0.082234174,-1.1609384,-0.10948739,0.23943734,0.31109807,-1.1771643,0.24099648,-0.59152234,-0.7411786,1.0541246,0.45725894,0.07688885,0.8209344,1.0391228,0.19283216,0.38139567,0.41101894
c_1_32_472,-0.7439948,-1.2377002,-0.44442108,-0.54841626,-1.5473636,0.6652559,-0.85178745,-0.28918204,-1.1217694,-1.1384361,-0.06826326,0.017325502,-0.9882391,-1.2906703,-0.3483535,-1.3540845,0.7157853,-0.74828005,-0.65942353,-0.76563793,-0.862624,-0.8603967,-0.83380795,0.2119113,-0.81839913,-0.78673124,-0.04077636,-0.3541931,-0.71653587,-1.4862785
c_1_32_473,-0.3162601,-1.18909,-0.1011434,-0.46015993,-0.04152024,0.4660106,1.4352734,-0.17032623,-0.55343574,1.019509,-0.5676933,-0.70425797,0.44360143,0.8775778,-1.2308984,-0.8050398,0.046797905,0.03302987,-1.0188224,-0.42638826,-0.3793065,-0.92687666,-0.4947707,0.02309254,0.30179533,0.3881071,0.294354,0.43821397,0.19430673,0.23429707
c_1_32_474,-0.67203224,-1.178458,-0.89194196,-0.35463482,-0.6923932,0.6524786,0.53897697,-0.28947443,-0.65304697,0.6421125,-0.2743315,-1.5104069,-0.0823078,0.47028437,-1.6752365,-0.6089702,-0.84364825,-0.82698214,-1.1849962,-0.09039905,-1.2249117,-1.0458697,-0.06449985,0.47203782,-0.27466422,-0.7134383,0.18012509,0.34807578,-0.24827926,-0.58308774
c_1_32_475,-1.210258,-1.0854093,-0.80073285,-0.90119565,-0.5260041,-0.45550323,-0.43715763,-0.37575644,-0.3438931,-0.18923269,-0.26757687,-1.118225,0.0727098,0.5696629,-0.77299374,0.70483744,-0.7899721,-1.1838282,-0.9146288,-0.4325306,-0.7931066,-1.2676373,-0.18725227,0.5212832,-0.36737278,0.7358793,-0.92185116,0.5631755,0.5033601,0.1409709
c_1_32_476,-0.5165885,-0.029129729,0.5505449,2.134905,1.1797705,0.3638295,0.72540325,-0.29270148,-0.3868664,0.70929223,0.23677029,-0.4253829,-0.76994205,-0.59522986,-0.5818226,0.09364639,-0.83508074,0.19667241,-0.6491505,0.27618688,-0.64246935,-1.0071648,1.1108028,0.04711726,0.5705653,1.6620443,1.4549251,0.79382706,-0.59251434,-0.29246894
