cell_id,4-1BB,CCR7,CD11b,CD123,CD138,CD14,CD163,CD40,CD68,CTLA4,FABP4,FOXP3,GITR,GZMB,ICOS,IDO1,IL-18,IL-1b,IgD,Ki-67,LAG3,LAMP1,PD-L1,PD-L2,STING,VISTA,Vimentin,iNOS,p53,pan-RAS
c_1_52_136,-1.8884153,-1.4295202,-2.0872927,-1.4055768,-0.6269529,-2.940454,-1.218653,-2.313004,-1.7493936,-1.224918,-1.331424,-3.03528,-2.2793832,-3.758743,-1.4533453,-2.4064498,-2.9319987,-1.1912073,-1.3834081,-1.6762339,-1.5329098,-2.7094343,-0.98363006,-2.273687,-2.2300735,-1.9852222,-1.221701,-0.8472046,-1.8573546,-2.5047123
c_1_52_137,0.61586976,0.8324388,0.6731946,1.3998545,0.62790674,-0.019267032,2.2069578,-0.35813347,0.75714606,1.0058132,1.8307796,2.3208249,1.2674935,0.75922227,1.3058136,1.930786,1.1307069,1.6868591,2.01757,0.7383868,1.4544215,-0.40107605,2.210574,1.9156455,-0.8289456,0.5059835,2.501618,1.9797422,1.6319541,3.1021912
c_1_52_138,-2.1334238,0.40245107,-1.4640019,-1.6345427,-1.040898,-1.1011726,0.336601,-1.4203793,-1.4589043,-2.0804782,-2.1769009,-1.5819521,-2.8812258,-2.1969657,-1.3600495,-2.1004374,-2.0280218,-0.98107266,-0.1582929,-1.6023457,-1.437691,-0.99282616,-2.010366,-1.6337103,-1.6045109,-1.7756459,1.9950813,-0.7289069,-1.8608404,-0.37271267
c_1_52_139,-1.670128,-1.0756962,-2.4552627,-1.867499,-1.6383178,-2.3263772,-1.5937474,-2.2165995,-2.3741505,-1.9735652,-1.6408304,-2.8337212,-2.186183,-3.5375354,-2.2337973,-2.1333969,-1.234884,-1.1982504,-1.3327215,-1.8717052,-1.6752385,-3.0745564,-1.4810343,-2.5010393,-2.4199731,-1.9852222,0.21253784,-0.39296508,-2.017476,-3.2260468
c_1_52_140,-0.011968908,0.53722054,3.3522363e-05,0.8750782,0.40354443,0.030243395,1.5289748,-0.7902938,-0.2318951,0.7463044,1.1577518,1.2881842,0.4691177,0.6446417,0.29362035,-0.37598866,0.521945,1.2004163,0.9588747,0.47160473,1.1403424,-0.2119924,1.0269601,1.2957101,-1.1565486,-0.7355357,2.5749617,1.2174318,0.7560774,2.947591
c_1_52_141,-2.5762818,-1.6062329,-2.4991481,-2.8046842,1.5555192,-3.0843587,-0.6837192,-2.7366166,-1.7772049,-2.426817,-2.0009778,-3.708722,-2.6234841,-3.7857282,-1.7332703,-2.795302,-3.3482184,-1.6862226,-1.1483502,-2.3584943,-2.139929,-3.3460822,-1.9077252,-2.9488676,-2.4397073,-2.8880384,-1.0384502,-1.2096528,-2.61222,-3.2401648
c_1_52_142,-0.3945636,0.050599117,0.4304285,0.49982727,0.7103853,1.2343065,1.5585371,-0.7198641,-0.25133613,0.101879545,0.8477353,1.3155191,0.5073474,-0.6002241,-0.5690142,-0.2949765,-0.9691146,0.6555841,0.7422927,-0.24243979,0.9009358,-0.72166556,0.68807864,0.87352085,-0.28431264,-0.28844067,0.6385492,0.96110064,0.4153804,0.35735637
c_1_52_143,-0.33187208,-0.48864898,-1.5424725,-0.009737716,2.3479764,-1.3377523,1.5377762,-1.3730329,-0.5642887,0.2672156,3.143893,-0.519151,-0.3407446,-1.714745,0.26374733,-0.7364022,-2.1462429,0.55956393,0.51713437,-0.022785537,0.72896284,-1.5554831,-0.29847118,0.013470812,0.51640356,0.2001714,2.60671,0.60820144,-0.16096987,-0.5189915
c_1_52_144,1.2801489,1.2562968,1.3197355,2.473676,1.4729676,0.5244013,3.4191825,-0.32301858,1.2764566,1.8611943,2.531229,3.2388892,2.0243623,1.6397343,2.3440037,0.62303,1.9651763,2.5877995,2.5189753,1.543256,2.3885238,-0.014292612,2.5459905,1.8627235,-0.24336031,0.8661041,2.4703932,2.1548629,2.0932846,3.8535168
c_1_52_145,0.07787507,0.03858985,0.04820601,0.34234282,1.0147264,1.0548601,1.7097383,-0.9669013,0.05559091,0.9079429,0.6942642,1.1139468,0.6562864,-1.0321838,-0.1252778,-0.8056487,-0.3014488,1.2175932,1.1263039,0.061658524,1.2171423,-1.1777092,0.8663484,0.79091305,-0.7237883,0.40294826,0.13328205,0.5522174,0.046055727,-0.14163508
